IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
MERCKEL;MEEL;31533590100015;METZ; 17 PLACE DE L EGLISE  57850 DABO   ;0;20/03/2013 00:00
MERCURE26;MERC;50805056400014;Toulon; 1 RUE NICOLAS PEIRESC  83000 TOULON   ;0;01/09/2011 00:00
Messagebird B.V.;MESS; ;N° 51874474; 2C TROMPENBURGSTRAAT  1079 TX AMSTERDAM   PAYS-BAS;0;15/03/2019 00:00
Météo France;MTOF;18006003001911;Paris; 1 QUAI BRANLY  75340 PARIS  CEDEX 07 ;1;02/03/2005 00:00
Metro optic;MEOP;80188606000020;Paris; 72 RUE SADI CARNOT  92170 VANVES   ;0;04/06/2014 00:00
MGR 33;MGR3;85227145100019;La Rochelle; 1A AVENUE BERNARD MOITESSIER  17180 PERIGNY   ;0;04/03/2020 00:00
Micro Rouen;ROUE;38343100400027;Rouen ; 44 BOULEVARD DE L EUROPE  76100 ROUEN   ;0;05/03/2018 00:00
Microsoft Ireland operations limited;MSIO; ;DUBLIN - Numéro d'enregistrement: 256796;DUBLIN DOCKLANDS 70 SIR JOHN ROGERSON'S QUAY   DUBLIN D02 R296  IRLANDE;1;20/10/2016 00:00
Midi telecom;MITL;41335449900076;Toulouse;ZONE DE MONTREDON 13 AVENUE HERMES  31240 L UNION   ;0;27/07/2021 00:00
MINT;BUDG;42271687800091;Montpellier; 52 RUE D'ODIN CS 40900 34965 MONTPELLIER   ;1;29/11/2004 00:00
Mister Flat informatique;MFLI;49978835400029;Chartres; 5 AVENUE DES PARIGAUDES  28300 JOUY   ;0;30/06/2022 00:00
Misyl services;MSYL;52347604200032;Lille; 377 RUE JULES GUESDE  59650 VILLENEUVE D'ASCQ   ;0;03/12/2021 00:00
Mitel France;MIFR;44966636100042;Versailles; 1 RUE ARNOLD SCHOENBERG  78280 GUYANCOURT   ;0;17/09/2018 00:00
Mitto AG;MTTO; ;ZUG, Bahnhofstrasse 21, 6300 Zug  -   CHE-476.625.358; BAHNHOFSTRASSE 21  63000 ZUG   SUISSE;1;18/01/2023 00:00
Mixvoip S.A.;MXVP; ;B138372 ; RUE DES PRES 70  7333 STEINSEL   LUXEMBOURG;0;03/06/2022 00:00
Mobiquithings;MOQU;52424107200031;Grasse;PARCE HAUTE TECH FONT DE L ORME 694 AVENUE DR MAURICE DONAT  06250 MOUGINS   ;1;25/08/2010 00:00
Mobiweb telecom limited;MOTL; ;Registre des sociétés d'Angleterre et du Pays de Galles sous le numéro 8851141;207 REGENT STREET    LONDON W1B 3HH   ROYAUME-UNI;1;29/12/2016 00:00
Mobiyo;MBYO;82463820900026;Nanterre; 244 ROUTE DE SEYSSES  31100 TOULOUSE  CEDEX ;1;25/09/2017 00:00
MomentTech;MTTH;82268740600022;Caen; 14 RUE ALFRED KASTLER  14000 CAEN   ;0;08/06/2017 00:00
MONACO TELECOM INTERNATIONAL;MNCO; ;00 S 03851;C/O MONACO TELECOM 25 BOULEVARD DE SUISSE BP 377 98008 MONACO  CEDEX ;0;13/06/2006 00:00
Monema communications S.L.;MONE; ;ESB26439653; 17 5D GRAN VIA  ES26002 LOGRONO   ESPAGNE;0;07/02/2019 00:00
Monetiz;BUDD;53822302500031;Bordeaux; 7 RUE BUHAN  33000 BORDEAUX   ;1;28/11/2014 00:00
MonExpert-it;MEIT;89531775800012;Romans; 5 LES HAUTS DES BELLES  26300 JAILLANS   ;0;29/06/2021 00:00
Mongeot SARL;MNGT;33024245400024;Besançon; 3 AVENUE DE LA GARE  25500 MORTEAU   ;0;09/08/2021 00:00
Moovit SAS;MOOV;89755192500018;Marseille; 69 RUE DU ROUET  13008 MARSEILLE   ;0;15/12/2021 00:00
Morgon technologies;J2CP;53046093000015;Gap;CHALVET LE GRAND CHALET BP 39 05201 EMBRUN   ;1;05/05/2020 00:00
Moselle numérique;MONU;50951041800031;Metz; 5 RUE PERIGOT  57000 METZ   ;0;27/07/2016 00:00
Mot diese;MOTI;80362551600015;Paris; 12 RUE VIVIENNE  75002 PARIS   ;1;21/02/2018 00:00
Movius interactive corporation;MOVS;91534315600021;Paris; 16 RUE DU PONT NEUF  75001 PARIS   ;1;15/10/2022 00:00
Moxy;MOXY;90085755800010;ST ETIENNE; 3 RUE GUTENBERG  69100 ST ETIENNE   ;0;23/01/2023 00:00
Mozar;MOZA;81979198900018;Créteil; 4 RUE DES COSMONAUTES  94600 CHOISY-LE-ROI   ;1;14/11/2017 00:00
MTech;MTEC;52452174700013;Nîmes; 155 AVENUE CHARLES DE GAULLE  30133 LES ANGLES   ;0;18/05/2016 00:00
Muona;MUON;81187349600012;Lyon; 9 QUAI ANDRE LASSAGNE  69001 LYON   ;1;07/07/2015 00:00
Music'Info;INFZ;84810803100016;Arras; 24 ALLEE DES FAUVETTES  62138 AUCHY-LES-MINES   ;0;04/04/2023 00:00
My line telecom;MYLT;85181757700014;Paris; 10 RUE DE PENTHIEVRE  75008 PARIS   ;0;15/07/2019 00:00
Mybestpro;WENG;47844447400066;Paris; 75 RUE D'AMSTERDAM  75008 PARIS   ;1;04/10/2004 00:00
Mycc;MYCC;83420418200010;Lyon; 7 CHEMIN DES HIRONDELLES  69570 DARDILLY   ;0;28/02/2018 00:00
Myti;MYTI;82349598100024;Antibes; 3356 ROUTE DES SERRES  06570 SAINT-PAUL   ;0;17/07/2018 00:00
Naitways;NAIT;50882361400047;Evry;IMMEUBLE AXE SEINE 20 RUE ROUGET DE LISLE  92130 ISSY-LES-MOULINEAUX  CEDEX ;1;04/04/2012 00:00
Napsis Telecom;UNCO;44839029400032;Le Havre; 36 RUE AMIRAL COURBET  76600 LE HAVRE   ;0;23/05/2017 00:00
NATEIS;NATE;48395104200017;EVRY; 20 BIS RUE MONTESQUIEU  91400 SACLAY   ;0;17/06/2013 00:00
Nawan;NWAN;89944471500010;Limoges;PARC TECHNOLOGIQUE D'ESTER 10 ALLEE SKYLAB  87068 LIMOGES  CEDEX 3 ;0;21/07/2021 00:00
N-CO services;NCOS;45239392900016;Lille Métropole; 1 RUE DE LILLE  59100 ROUBAIX   ;0;07/06/2019 00:00
NDA media;NDAM;80501038600011;Paris; 30 RUE DE SAINT PETERSBOURG  75008 PARIS   ;1;02/12/2022 00:00
Nearlink telecom;NEAR;90094502300019;Lyon;BATIEMENT N 2507 AVENUE DE L EUROPE  69140 RILLIEUX LA PAPE   ;0;21/07/2021 00:00
NEMEDYS;NEME;53481098100017;de Lyon; 2 PETITE RUE DE LA RIZE  69100 VILLEURBANNE   ;0;18/10/2011 00:00
Neo Center Est;NSIP;49355927200015;Metz; 3 AVENUE DES DEUX FONTAINES  57140 WOIPPY   ;0;26/04/2007 00:00
Néo éditions;NEOE;43325093300044;Dijon; 20 B RUE DES MOULISSARDS  21240 TALANT   ;1;29/11/2016 00:00
Neocom 360;N360;81292966900016;Rennes; 12 PLACE GAMBETTA BP 10356 35300 FOUGERES  CEDEX ;0;12/05/2016 00:00
Neotel;NOTL;43422677500022;BEZIERS;ZI CAPISCOL 24 AVENUE JEAN FOUCAULT BP 402 34504 BEZIERS  CEDEX ;1;24/09/2012 00:00
Net and You;NEYO;75202241800020;CUSSET; LIEU-DIT LA VILETTE  03120 BILLEZOIS   ;0;20/06/2012 00:00
Net Gestion Concept NGC France;NGCF;49487142900010;Strasbourg; 1 RUE DE LA GARE  67370 TRUCHTERSHEIM   ;1;26/07/2010 00:00
Net Lyon;NTLY;50114374700035;Lyon;PARC DE LA VILLA MERCEDES 151 ROUTE DE VOURLES  69230 ST GENIS LAVAL   ;0;01/06/2022 00:00
Net OI;NEOI;80249971500034;Saint-Denis ; 109 RUE VICTOR LE VIGOUREUX  97410 SAINT-PIERRE   ;1;19/02/2015 00:00
Netalis ;NTLS;81213251200029;Besançon;BATIMENT LE PULSAR 4 CHEMIN DE L ERMITAGE  25000 BESANCON   ;1;23/06/2015 00:00
Netatwork;NERK;52890615900017;Niort; 525 AVENUE LIMOGES  79000 NIORT   ;0;21/12/2019 00:00
Netcom Group;GNTL;45300631400109;Bobigny; 41 RUE DE DELIZY  93500 PANTIN   ;1;08/10/2012 00:00
Netensia;NETE;47889051000017; ;D LE PRISME PARC I BRETAGNE SUD CP35 56038 VANNES  CEDEX ;1;10/05/2010 00:00
Netinov;NTNV;82329204000024;Bergerac;ZA LA VALLADE NORD 2 ROUTE EMILE LHOTELLIER  24100 BERGERAC   ;0;14/09/2021 00:00
Netiwan;HERA;51927137300069;Béziers;ZAC DE MERCORENT 346 RUE AUGUSTIN JEAN FRESNEL  34500 BÉZIERS   ;1;12/01/2010 00:00
Netmessage;NETM;48940031700025;Nanterre; 152 BOULEVARD PEREIRE  75017 PARIS   ;0;19/10/2017 00:00
Net-stack;NECK;83366985600019;Grasse;SOPHIA ANTIPOLIS 15 TRAVERSE DES BRUCS  06560 VALBONNE   ;0;07/06/2018 00:00
Nettel;NETT;41526735000056;Clermont-Ferrand; 10 RUE DES FRERES LUMIERES  63100 CLERMONT FERRAND   ;1;10/10/2012 00:00
Netwo;NWOT;84412522900014;Paris; 35 RUE DES JEUNEURS  75002 PARIS   ;1;28/01/2019 00:00
Networth telecom;NETW;43422508200073;Nanterre; 30 RUE MOZART  92110 CLICHY   ;1;23/12/2005 00:00
NEURONNEXION;NEUR;40946217300058;Amiens; 50 RUE RIOLAN  80000 AMIENS   ;0;12/10/2007 00:00
New way consulting SARL;NWWC; ;1252900L;SIDI MAHRSI 7 LOT BEN SASSI  8000 NABEUL   TUNISIE;0;27/04/2023 00:00
Newtech interactive;NWTI;39283417200075;RCS Toulouse; 3 CHEMIN DU PIGEONNIER DE CEPIERE  31100 TOULOUSE   ;1;21/11/2007 00:00
Nexacom;NEXA;52779742700038;Versailles; 29 AVENUE RENE DUGUAY TROUIN  78960 VOISINS-LE- BRETONNEUX   ;0;21/11/2017 00:00
Nexis I.T.;NEIT;88279413400024;Carcassonne; 16 RUE BUFFON  11000 CARCASSONNE   ;0;24/07/2020 00:00
Nexmo Inc.;NEMO; ;N° 4837322 State of Delaware;4TH FLOOR 217 SECOND STREET  94105 SAN FRANCISCO CA  ETATS-UNIS;0;09/04/2018 00:00
Next ;NEXX;81515488500017;Strasbourg;ESPACE EUROPEEN DE L ENTREPRISE 7 AVENUE DE L EUROPE  67300 SCHILTIGHEIM   ;0;16/02/2016 00:00
Nextphone;NEPH;79263207700014;Bobigny; 111 RUE DE STALINGRAD  93100 MONTREUIL   ;0;08/06/2016 00:00
Nfon France;NFFR;84939801100015;Paris; 81 RUE REAUMUR  75002 PARIS   ;1;15/04/2019 00:00
NG communications;NGCO; ;0480200478 / 122928;KWERPSEBAAN 223 B    B-3071 KORTENBERG   BELGIQUE;0;16/10/2019 00:00
NICE Systems UK Limited;NICE; ; 03403044  au registre du Pays de Galles et d'Angleterre;HEDGE END TOLLBAR HOUSE TOLLBAR WAY  SO30 2ZP SOUTHAMPTON   ROYAUME-UNI;1;23/01/2023 00:00
NIEDERBRONN THD;NIED;84517762500025;Evreux; 2247 VOIE DE L OREE  27100 VAL-DE-REUIL   ;0;30/03/2021 00:00
Nimacom;NIMA;90143881200017;Saint-Etienne;ALLEE B 10 RUE DU PORTAIL ROUGE  42100 SAINT ETIENNE   ;1;06/08/2021 00:00
Nis group;NISG;52779808600015;Châlons-en-Champagne; 1 BIS AVENUE CHARLES DE GAULLE  51510 FAGNIERES   ;0;06/04/2016 00:00
Nivertel;NIVE;49371662500022;Nevers; 7 RUE DU 13E DE LIGNE  58000 NEVERS   ;1;19/02/2007 00:00
NMD;NMDN;48380488600024;Albi; 1 RUE DE LA FILATURE  81000 ALBI   ;0;17/07/2019 00:00
Noelse France;NOEL;34771917101160;Angers; 11 PLACE FRANCOIS MITTERRAND  49000 ANGERS   ;1;15/02/2022 00:00
Noir network;NOIR;88012012600011;92000; 189 RUE DE SURESNES  92000 NANTERRE   ;1;11/04/2022 00:00
Noir support;NRSU;88012029000015;Nanterre; 189 RUE DE SURESNES  92000 NANTERRE   ;0;12/09/2023 00:00
Nomotech;INCL;39381963600217;Paris;ZA DE L ESTUAIRE 53 AVENUE DE LA PIERRE VALLEE  50220 POILLEY   ;1;22/03/1999 00:00
NORA 681;NORA; ;BG205572085 à SOFIA; 43 B ALEXANDER VON HUMBOLT STR.  1113 SOFIA   BULGARIE;1;29/01/2021 00:00
Nord connect UAB;NRDC; ;304231185; KERNAVES G 88 144  LT08216 VILNIUS   LITUANIE;0;20/10/2021 00:00
Nordnet;NORN;40297448900054;LILLE DE TOURCOING; 20 RUE DENIS PAPIN CS 20458 59664 VILLENEUVE D ASCQ  CEDEX ;1;07/02/2005 00:00
Norest services SAS;NORS;52923407200013;Strasbourg; 25 RUE DE LA GARE  67690 HATTEN   ;1;26/01/2018 00:00
Norettes communication;NOCO;81242559300025;Versailles; 5 RUE DES RENATEAUX  78930 BREUIL-BOIS-ROBERT   ;0;03/04/2017 00:00
Norgay SMB;ANSM;40393866500037;Lille; 21 AVENUE DE LA CREATIVITE  59658 VILLENEUVE-D ASCQ  CEDEX ;0;28/07/2014 00:00
NORMHOST SARL;NORM;51122743100018;Caen; 50 AVENUE DE LA PLAGE  14150 OUISTREHAM   ;0;31/03/2009 00:00
NOTOLA S.A.;NOTO; ;B104369 RCS Luxembourg; 13 COTE D EICH  L-1450 LUXEMBOURG   LUXEMBOURG;1;17/08/2011 00:00
Nouvelle Aquitaine commercialisation;NACO;95084117100016;Brive;ZI LA GANE LACHAUD 55 RUE LUCIEN DAVOUS  19140 UZERCHE   ;0;30/03/2023 00:00
Nova solutions groupe;NOSG;53782598600012;Paris; 55 AV MARCEAU  75116 PARIS  CEDEX 16 ;0;24/11/2021 00:00
Novacio;NOIO;81864601000012;Versailles; 12 BOULEVARD DE LA LIBERATION  78220 VIROFLAY   ;0;13/04/2016 00:00
Novalyo;NVLY;52333008200026;Vienne; ZAC DES CASTORS  38150 SALAISE SUR SANNE   ;0;01/04/2022 00:00
Novalyo sud;NVLS;53848550900029;AIX-EN-PROVENCE;EUROPARC DE PICHAURY BAT A4 1130 AVENUE JRGG DE LA LAUZIERE  13100 AIX EN PROVENCE   ;0;01/04/2022 00:00
Novasys;NVSS;53971374300059;Brest; 440 CHEMIN D ILLIEN SERPIL  29470 PLOUGASTEL-DAOULAS   ;0;05/10/2022 00:00
Novative;NOVE;79286649300028;Nanterre; 350 CHEMIN DU PRÉ NEUF  38350 LA MURE   ;1;31/07/2017 00:00
Novead;NVEA;47922424800043;Tarascon;PONT DE CRAU 285 CHEMIN DE FALET  13200 ARLES   ;0;09/03/2023 00:00
Novelcom;AVIR;48761054500039;Paris; 138 RUE D'ABOUKIR  75002 PARIS   ;1;02/03/2012 00:00
NSA telecom;NSAT;82468508500014;Saint-Martin;SPRING CONDORDIA-1002 RES PAPILLONS- 19 RUE DES PENICHES  97150 SAINT MARTIN   ;0;05/03/2018 00:00
NTT Cloud Communications SAS;ARKA;43856822200071;RCS de Paris; 32 RUE GUERSANT  75017 PARIS   ;0;19/06/2014 00:00
NTT France;DIME;40189845700130;Créteil;IMMEUBLE VENISE 3 RUE SAARINEN  94150 RUNGIS   ;1;14/12/2016 00:00
Number118;ND3N; ;Bruxelles; 523 AVENUE LOUISE  1050 BRUXELLES   BELGIQUE;1;07/01/2017 00:00
Numeric Futures Limited;NUFU; ;3898638; 168 HOLLIDAY STREET  B1 1TJ BIRMINGHAM   ROYAUME-UNI;0;20/09/2018 00:00
Numericap;NUME;53018843200013;TOULON;LE GALAXIE C 526 AVENUE M. DE LATTRE DE TASSIGNY  83000 TOULON   ;0;09/01/2013 00:00
Numérique services;NUSE;79968821300021;Marseille;ZONE ARTISANALE NAPOLLON 35 AVENUE DE LASCOURS  13400 AUBAGNE   ;0;19/02/2020 00:00
Numerisat;NUAT;82187023500016;Chambéry;BATIMENT KOALA 17 RUE LAC SAINT ANDRE  73377 LE BOURGET-DU-LAC   ;0;10/10/2016 00:00
Numintec comunicaciones SL;NMCO; ;B63003636 Barcelona, Espagne;ENTRESUELO 2 CALLE DIPUTACION 279  08009 BARCELONA   ESPAGNE;0;29/03/2023 00:00
Numlog;NUML;39093787800036;Versailles; 9TER ROUTE DE SAINT-GERMAIN  78640 VILLIERS ST FREDERIC   ;0;16/01/2014 00:00
NUWAVE Communications Limited;NUWA; ;Company number 12123821; 85 TOTTENHAM COURT ROAD  W1T4TQ LONDON   ROYAUME-UNI;1;10/05/2021 00:00
Nxo France;NXFR;81193436300482;RCS Nanterre; 133 BOULEVARD NATIONAL  92500 RUEIL-MALMAISON   ;1;09/07/2015 00:00
Nyukom;NYUK;80788095000017;Lille; 12 RUE DE CANNES  59000 LILLE   ;0;10/01/2018 00:00
O.X telecoms;OXTL;85403143200016;Evreux; 5 RUE DES RHODES  27190 CONCHES EN OUCHE   ;0;11/02/2023 00:00
Occicom;OCCI;79883117800016;Albi;LIEU-DIT PERCHES   81170 MOUZIEYS-PANENS   ;1;13/01/2014 00:00
Ocea telecom;OCTE;79252393800019;BORDEAUX; 1 RUE EUGENE BUHAN  33170 GRADIGNAN   ;0;15/11/2013 00:00
Oda link;ODAL;901889014;MEAUX; 5 RUE PELLOUTIER  77183 CROISSY-BEABOURG   ;0;08/03/2023 00:00
Odbee;ODBE;44005735400035;Grasse; 42 AVENUE DES CEPES BP 141 83520 ROQUEBRUNE SUR AGENS   ;0;15/02/2008 00:00
ODC;ODCR;39497917300058;BOULOGNE SUR MER;ZAC DU MONT JOIE 65 RUE MONTJOIE  62280 SAINT MARTIN BOULOGNE   ;0;07/11/2017 00:00
Odena;BRIT;43191193200066;QUIMPER; 5 ALLEE DE L ABBE GREGOIRE  29000 QUIMPER   ;0;11/03/2016 00:00
Odigo;ODIG;52903897800092;Nanterre; 50 COURS DE L'ILE SÉGUIN  92100 BOULOGNE-BILLANCOURT   ;1;15/11/2018 00:00
Odoip;ODOP;94819912000015;Evry; 12 BOULEVARD LOUISE MICHEL  91000 EVRY COURCOURONNES   ;1;18/07/2023 00:00
Odyssey messaging;AMCA;42183956400042;Paris; 81 RUE REAUMUR  75002 PARIS   ;1;25/11/2009 00:00
Oecom;OECO;81843271800018;Saint-Etienne; 502 ROUTE DE SAINT HEAND  42230 SAINT-BONNET-LES-OULES   ;1;16/02/2016 00:00
Oise numerique;ONUM;80281245300040;Bobigny; 124 BOULEVARD DE VERDUN  92400 COURBEVOIE   ;0;16/06/2014 00:00
Ok Deal Consulting;OKDC; ;UIC 206150037; 48 VITOSHA BLVD  1000 SOFIA   BULGARIE;0;24/01/2023 00:00
Oksio;OKSO;75155959200033;Sens;CHARNY 1 ALLEE DE LA PLAINE  89120 CHARNY OREE DE PUISAYE   ;0;11/01/2023 00:00
Oleasys;OLEA;90314237000019;Evreux; 10 RUE CLOS DE LA CHATAIGNERAIE  27120 HOULBEC-COCHEREL   ;0;22/09/2021 00:00
Olldial;OLLD;48967859900023;Toulouse; 13 RUE DES FAUVETTES  31320 CASTANET-TOLOSANE   ;0;05/10/2021 00:00
Olonne telecom;OLNN;51300670000019;La Roche-sur-Yon;RESIDENCE DU PONTREAU 87 RUE DE LA MARCELLIERE  85180 LES SABLES D'OLONNE   ;0;28/10/2022 00:00
Omfitel;omfi;82321281600016;Aix-en-Provence;ZI LA COLLINE SUD 1 ALLEE THOMAS EDISON  13500 MARTIGUES BOUCHES DU RHONE  ;0;15/12/2016 00:00
OMR infogerance;OMRI;50946077000019;Nantes; AVENUE JULES VERNE  44230 SAINT-SEBASTIEN-SUR-LOIRE   ;0;26/02/2019 00:00
Ondes;ONDE;44424581500048;Marseille; 54 RUE SAINTE VICTOIRE  13006 MARSEILLE   ;0;26/07/2019 00:00
One bureautique;ONEB;82464833100018;Caen; 133  COURS CAFFARELLI  14120 MONDEVILLE   ;0;26/05/2020 00:00
One opérateur;ONOP;50965820900044;Rouen; 595 AVENUE DU MARECHAL JUIN  76230 BOIS GUILLAUME   ;0;31/12/2013 00:00
Onecentral BV;ONCN; ;24419023, Rotterdam, Pays-Bas; CAPELLALAAN 125  2132JM HOOFDDORP   PAYS-BAS;1;10/11/2022 00:00
Onecom;ONEC;95245872700015;Meaux; 8 ALLEE DES PALOMBES  77185 LOGNES   ;0;18/07/2023 00:00
ONECT Ltd;VPSL; ;C76352;PYKETREE BUSINESS CENTRE - SUITE 3 INDUSTRY STREET - ZONE 5  CBD5030 ST VENERA   MALTE;1;11/07/2016 00:00
Onedirect;ODRT;42171573100020;Perpignan; 58 AVENUE DE RIVESALTES BP 4 66240 SAINT ESTEVE   ;0;05/01/2015 00:00
OneTwo;ONTW;81350075800012;Pontoise; 19 RUE PAUL LORILLON  95440 ECOUEN   ;0;09/10/2017 00:00
ONILLON Florent;ONIL;53915888100026;Nantes;ROUTE DE BAIN DE BRETAGNE POLE D'ACTIVITES DE BERE  44110 CHATEAUBRIANT   ;0;01/07/2021 00:00
Onoff telecom;ONOF;79927016000010;Paris; 26 BOULEVARD DE BONNE NOUVELLE  75010 PARIS   ;1;24/03/2015 00:00
ONVOY Communications Limited;ONCL; ;Certificat d'incorporation N° 656282; 2 RIVERSIDE ONE SIR J ROGERSONS QUAY  D02 X576 DUBLIN   IRLANDE;1;14/12/2020 00:00
Ooma Inc.;OOMI; ;C2642676;SUITE 200 525 ALMANOR AVENUE  CA 94085 SUNNYVALE   ETATS-UNIS;1;15/01/2021 00:00
Ooma international Ltd;OOMA; ;106147778 Registered in England and Wales;9TH FLOOR - 107 CHEAPSIDE    EC2V 6DN LONDRES   ROYAUME-UNI;0;23/03/2017 00:00
Ooma Ireland Limited;OOME; ;Dublin, Reg. Number 687685; 70 SIR JOHN ROGERSONS QUAY  DUBLIN 2 DUBLIN   IRLANDE;0;24/10/2022 00:00
Open text;OPTX;33795073700052;Nanterre;COEUR DEFENSE TOUR B ETAGE 30 100 ESPLANADE DU GENERAL DE GAULLE  92400 COURBEVOIE   ;0;06/11/2018 00:00
OpenS SPRL;OPNS; ;BE 0821.802.905; RUE LANDUYT 89  B1440 BRAINE-LE-CHATEAU   BELGIQUE;0;05/11/2018 00:00
Operators;OPOS;85069067800014;Paris; 118 AVENUE JEAN JAURES  75019 PARIS   ;0;16/01/2020 00:00
Ophony;OPHO;80405194400010;Nanterre; 5 AVENUE DE STALINGRAD  92220 BAGNEUX   ;1;02/01/2023 00:00
OPS Telecom;OPST;52394139100014;Châlons-en-Champagne; 75 ROUTE DE LOUVOIS  51520 SAINT MARTIN SUR LE PRE   ;1;30/01/2012 00:00
Opteam'ip;OPIP;84390960700015;Brive; 9 AVENUE DE LA LIBERATION  19360 MALEMORT   ;0;14/02/2019 00:00
Optelo;OPLO;48896787800049;PARIS; 5 RUE DE LA TERRASSE  75017 PARIS   ;1;02/03/2021 00:00
Opticall;OPLL;80349268500018;Saint-Denis; 32 LOT. LES CITRONNELLES  97440 SAINT ANDRE   ;1;23/07/2014 00:00
Optico;OPTC;82466653100028;Marseille; 180 AVENUE DU PRADO  13008 MARSEILLE   ;1;01/12/2020 00:00
OPTILIAN;OPLI;48023655300016;Paris; 36 RUE SCHEFFER  75116 PARIS   ;0;12/08/2009 00:00
Optimicom;OPMI;80142743600028;Le Havre; 9 QUAI GEORGE V  76600 LE HAVRE   ;0;06/10/2017 00:00
Optimiz network;OPNK;89845176000018;SAINT-ETIENNE B 898 451 760; 20 RUE PROFESSEUR BENOIT LAURAS  42000 SAINT-ETIENNE   ;0;27/01/2022 00:00
Optimum telecom;OPEC;81234946200018;Paris; 38 RUE SERVAN  75011 PARIS   ;0;22/03/2019 00:00
Optimus telecom ;OPCM;83404477800027;Paris; 42 RUE DE MAUBEUGE  75009 PARIS   ;1;03/04/2018 00:00
Options telecom;OPOM;44213356700044;Dijon; 2 RUE DE MIRANDE  21000 DIJON   ;0;06/06/2017 00:00
Or tel;OREL;84028457400042;Bobigny; 82 AVENUE PASTEUR  93260 LES LILAS   ;0;14/06/2018 00:00
Orange;FRTE;38012986648625;Paris; 111 QUAI DU PRESIDENT ROOSEVELT CS 70222 92449 ISSY-LES-MOULINEAUX  CEDEX ;1;12/03/1998 00:00
Orange business services;ORBS;34503941600085;Bobigny; 1 PLACE DES DROITS DE L HOMME  93210 SAINT-DENIS LA PLAINE   ;1;18/12/2018 00:00
Orange Caraïbe;ORCA;37998489100141;Créteil; 1 AVENUE NELSON MANDELA BP 2336 94110 ARCUEIL  CEDEX ;0;14/06/1996 00:00
Orange concessions;ORCO;82747586400050;Paris ; 6 PLACE D ALLERAY  75015 PARIS   ;0;25/11/2022 00:00
Ordinateur personnel plus;OPPL;33950552100049;Bayonne; 9 AVENUE LOUIS BARTHOU  64200 BIARRITZ   ;0;12/07/2021 00:00
ORG INFOR;ORGI;39289915900017;Chalon sur Saône;TOUR VISION 2000 1 RUE DEWET BP 596 71324 CHALON SUR SAONE  CEDEX ;0;03/04/2008 00:00
Orne THD;OTHD;81444482400019;Metz; 3 RUE DE LA MARNE  57120 ROMBAS   ;1;22/09/2016 00:00
Osimatic;OSIM;35298786100031;Versailles; 2 RUE GEORGE SAND  78112 FOURQUEUX   ;1;10/09/2018 00:00
Othelys;OTHE;51297561600024;Troyes; 34 RUE JEAN-BAPTISTE COLBERT  10600 LA CHAPELLE-SAINT-LUC   ;0;05/04/2018 00:00
Ottspott;R3LO;79129356600018;PARIS; 84 AVENUE DE LA REPUBLIQUE  75011 PARIS   ;1;03/06/2013 00:00
Ouest object;OUOB;75243125400016;Caen; 8  RUE DU QUADRANT  14123 FLEURY SUR ORNE   ;0;09/11/2017 00:00
Ourea;UREA;89456872400013;Evreux; 2247 VOIE DE L OREE  27100 VAL DE REUIL   ;0;15/12/2021 00:00
Outremer Telecom;OUTR;38367876000018;FORT-DE-FRANCE; Z.I. JAMBETTE BP 280 97285 LAMENTIN  CEDEX 2 ;1;29/04/1998 00:00
OVEA;OVEA;44193822200037;Montpellier; 59 RUE NELSON MANDELA  34070 MONTPELLIER   ;1;25/02/2008 00:00
OVH;OVH;42476141900045;Roubaix Tourcoing; 2 RUE KELLERMANN BP 80157 59100 ROUBAIX   ;1;10/11/2005 00:00
Owlinit;OWLN;94774898400012;BORDEAUX;APPT B11 14 RUE DE FIEUZAL  33520 BRUGES   ;0;11/05/2023 00:00
Oxeegen;UNIK;81173173600021;Aix-en-Provence;TECHNO PARC DU GRIFFON BAT 14 511 ROUTE DE LA SEDS  13127 VITROLLES   ;0;22/06/2015 00:00
Oxilog;OXIL;84070100700014;Paris;B 2-7 - IMMEUBLE LE CERCLE DES BUREAUX CENTRE URBAIN NORD  1003 TUNIS   TUNISIE;1;27/10/2017 00:00
Oxone technologies;OXTE;33855967700079;Grenoble;IMMEUBLE LES TERRASSES DU DRAC 11 BIS AVENUE VICTOR HUGO  38170 SEYSSINET-PARISET   ;1;22/04/2014 00:00
P&O ferries;POFE;30242104500030;Boulogne sur Mer;DOUVRES KENT CHANNEL VIEW ROAD    CT 17 CHANNEL HOUSE   ROYAUME-UNI;0;29/08/2014 00:00
P1 security;P1SE;52977824300012;Paris; 231 RUE SAINT-HONORE  75001 PARIS   ;1;19/09/2016 00:00
Paasoo;PASO;90428025200019;Paris; 4 PLACE LOUIS ARMAND  75012 PARIS   ;0;28/10/2021 00:00
PALY-BOYOT Kevin;ADNC;88990957800011;Toulouse;APPT 92 97 RUE REGUELONGUE  31100 TOULOUSE HAUTE GARONNE  ;0;10/12/2022 00:00
Parabole Réunion;PARE;42052393800041; ;TECHNOLPOLE DE LA REUNION 2 RUE EMILE HUGOT BP 27 97491 STE CLOTILDE  CEDEX ;1;08/09/2015 00:00
